,Layername,Year,Area [ha],Percentage_of_Switerland
146,IANB_amphibLaichgebietUndWanderobjekteUnion,1970,0.0,0.0
147,Auengebiete_Auengebiete,1970,0.0,0.0
148,Flachmoore_flachmoor,1970,0.0,0.0
149,Hochmoore_hochmoor,1970,0.0,0.0
150,Trockenwiesenweiden_trockenwiesenweiden,1970,0.0,0.0
151,WasserZugvoegel_wasserzugvogel,1970,0.0,0.0
152,Jagdbanngebiete_jagdbann,1970,0.0,0.0
153,BLN_landschaftnaturdenkmal,1970,0.0,0.0
154,Moorlandschaften_moorlandschaft,1970,0.0,0.0
155,Smaragd_smaragd,1970,0.0,0.0
156,Ramsar_ramsar,1970,0.0,0.0
157,Biosphaerenreservate_biosphaerenreservat,1970,0.0,0.0
158,Unesco_unescoWorldNaturalHeritage,1970,0.0,0.0
159,RegionalePaerke_ParkPerimeter,1970,0.0,0.0
160,Paerke_ParkKernzone,1971,0.0,0.0
161,NationalparkGraubuenden_nationalpark,1971,16689.978617439483,0.4042625316080776
162,IANB_amphibLaichgebietUndWanderobjekteUnion,1971,0.0,0.0
163,Auengebiete_Auengebiete,1971,0.0,0.0
164,Flachmoore_flachmoor,1971,0.0,0.0
165,Hochmoore_hochmoor,1971,0.0,0.0
166,Trockenwiesenweiden_trockenwiesenweiden,1971,0.0,0.0
167,WasserZugvoegel_wasserzugvogel,1971,0.0,0.0
168,Jagdbanngebiete_jagdbann,1971,0.0,0.0
169,BLN_landschaftnaturdenkmal,1971,0.0,0.0
170,Moorlandschaften_moorlandschaft,1971,0.0,0.0
171,Smaragd_smaragd,1971,0.0,0.0
172,Ramsar_ramsar,1971,0.0,0.0
173,Biosphaerenreservate_biosphaerenreservat,1971,0.0,0.0
174,Unesco_unescoWorldNaturalHeritage,1971,0.0,0.0
175,RegionalePaerke_ParkPerimeter,1971,0.0,0.0
176,Paerke_ParkKernzone,1972,0.0,0.0
177,NationalparkGraubuenden_nationalpark,1972,16689.978617439483,0.4042625316080776
178,IANB_amphibLaichgebietUndWanderobjekteUnion,1972,0.0,0.0
179,Auengebiete_Auengebiete,1972,0.0,0.0
180,Flachmoore_flachmoor,1972,0.0,0.0
181,Hochmoore_hochmoor,1972,0.0,0.0
182,Trockenwiesenweiden_trockenwiesenweiden,1972,0.0,0.0
183,WasserZugvoegel_wasserzugvogel,1972,0.0,0.0
184,Jagdbanngebiete_jagdbann,1972,0.0,0.0
185,BLN_landschaftnaturdenkmal,1972,0.0,0.0
186,Moorlandschaften_moorlandschaft,1972,0.0,0.0
187,Smaragd_smaragd,1972,0.0,0.0
188,Ramsar_ramsar,1972,0.0,0.0
189,Biosphaerenreservate_biosphaerenreservat,1972,0.0,0.0
190,Unesco_unescoWorldNaturalHeritage,1972,0.0,0.0
191,RegionalePaerke_ParkPerimeter,1972,0.0,0.0
192,Paerke_ParkKernzone,1973,0.0,0.0
193,NationalparkGraubuenden_nationalpark,1973,16689.978617439483,0.4042625316080776
194,IANB_amphibLaichgebietUndWanderobjekteUnion,1973,0.0,0.0
195,Auengebiete_Auengebiete,1973,0.0,0.0
196,Flachmoore_flachmoor,1973,0.0,0.0
197,Hochmoore_hochmoor,1973,0.0,0.0
198,Trockenwiesenweiden_trockenwiesenweiden,1973,0.0,0.0
199,WasserZugvoegel_wasserzugvogel,1973,0.0,0.0
200,Jagdbanngebiete_jagdbann,1973,0.0,0.0
201,BLN_landschaftnaturdenkmal,1973,0.0,0.0
202,Moorlandschaften_moorlandschaft,1973,0.0,0.0
203,Smaragd_smaragd,1973,0.0,0.0
204,Ramsar_ramsar,1973,0.0,0.0
205,Biosphaerenreservate_biosphaerenreservat,1973,0.0,0.0
206,Unesco_unescoWorldNaturalHeritage,1973,0.0,0.0
207,RegionalePaerke_ParkPerimeter,1973,0.0,0.0
208,Paerke_ParkKernzone,1974,0.0,0.0
209,NationalparkGraubuenden_nationalpark,1974,16689.978617439483,0.4042625316080776
210,IANB_amphibLaichgebietUndWanderobjekteUnion,1974,0.0,0.0
211,Auengebiete_Auengebiete,1974,0.0,0.0
212,Flachmoore_flachmoor,1974,0.0,0.0
213,Hochmoore_hochmoor,1974,0.0,0.0
214,Trockenwiesenweiden_trockenwiesenweiden,1974,0.0,0.0
215,WasserZugvoegel_wasserzugvogel,1974,0.0,0.0
216,Jagdbanngebiete_jagdbann,1974,0.0,0.0
217,BLN_landschaftnaturdenkmal,1974,0.0,0.0
218,Moorlandschaften_moorlandschaft,1974,0.0,0.0
219,Smaragd_smaragd,1974,0.0,0.0
220,Ramsar_ramsar,1974,0.0,0.0
221,Biosphaerenreservate_biosphaerenreservat,1974,0.0,0.0
222,Unesco_unescoWorldNaturalHeritage,1974,0.0,0.0
223,RegionalePaerke_ParkPerimeter,1974,0.0,0.0
224,Paerke_ParkKernzone,1975,0.0,0.0
225,NationalparkGraubuenden_nationalpark,1975,16689.978617439483,0.4042625316080776
226,IANB_amphibLaichgebietUndWanderobjekteUnion,1975,0.0,0.0
227,Auengebiete_Auengebiete,1975,0.0,0.0
228,Flachmoore_flachmoor,1975,0.0,0.0
229,Hochmoore_hochmoor,1975,0.0,0.0
230,Trockenwiesenweiden_trockenwiesenweiden,1975,0.0,0.0
231,WasserZugvoegel_wasserzugvogel,1975,0.0,0.0
232,Jagdbanngebiete_jagdbann,1975,0.0,0.0
233,BLN_landschaftnaturdenkmal,1975,0.0,0.0
234,Moorlandschaften_moorlandschaft,1975,0.0,0.0
235,Smaragd_smaragd,1975,0.0,0.0
236,Ramsar_ramsar,1975,0.0,0.0
237,Biosphaerenreservate_biosphaerenreservat,1975,0.0,0.0
238,Unesco_unescoWorldNaturalHeritage,1975,0.0,0.0
239,RegionalePaerke_ParkPerimeter,1975,0.0,0.0
240,Paerke_ParkKernzone,1976,0.0,0.0
241,NationalparkGraubuenden_nationalpark,1976,16689.978617439483,0.4042625316080776
242,IANB_amphibLaichgebietUndWanderobjekteUnion,1976,0.0,0.0
243,Auengebiete_Auengebiete,1976,0.0,0.0
244,Flachmoore_flachmoor,1976,0.0,0.0
245,Hochmoore_hochmoor,1976,0.0,0.0
246,Trockenwiesenweiden_trockenwiesenweiden,1976,0.0,0.0
247,WasserZugvoegel_wasserzugvogel,1976,0.0,0.0
248,Jagdbanngebiete_jagdbann,1976,0.0,0.0
249,BLN_landschaftnaturdenkmal,1976,0.0,0.0
250,Moorlandschaften_moorlandschaft,1976,0.0,0.0
251,Smaragd_smaragd,1976,0.0,0.0
252,Ramsar_ramsar,1976,0.0,0.0
253,Biosphaerenreservate_biosphaerenreservat,1976,0.0,0.0
254,Unesco_unescoWorldNaturalHeritage,1976,0.0,0.0
255,RegionalePaerke_ParkPerimeter,1976,0.0,0.0
256,Paerke_ParkKernzone,1977,0.0,0.0
257,NationalparkGraubuenden_nationalpark,1977,16689.978617439483,0.4042625316080776
258,IANB_amphibLaichgebietUndWanderobjekteUnion,1977,0.0,0.0
259,Auengebiete_Auengebiete,1977,0.0,0.0
260,Flachmoore_flachmoor,1977,0.0,0.0
261,Hochmoore_hochmoor,1977,0.0,0.0
262,Trockenwiesenweiden_trockenwiesenweiden,1977,0.0,0.0
263,WasserZugvoegel_wasserzugvogel,1977,0.0,0.0
264,Jagdbanngebiete_jagdbann,1977,0.0,0.0
265,BLN_landschaftnaturdenkmal,1977,171468.46124099268,4.153287180355885
266,Moorlandschaften_moorlandschaft,1977,0.0,0.0
267,Smaragd_smaragd,1977,0.0,0.0
268,Ramsar_ramsar,1977,0.0,0.0
269,Biosphaerenreservate_biosphaerenreservat,1977,0.0,0.0
270,Unesco_unescoWorldNaturalHeritage,1977,0.0,0.0
271,RegionalePaerke_ParkPerimeter,1977,0.0,0.0
272,Paerke_ParkKernzone,1978,0.0,0.0
273,NationalparkGraubuenden_nationalpark,1978,16689.978617439483,0.4042625316080776
274,IANB_amphibLaichgebietUndWanderobjekteUnion,1978,0.0,0.0
275,Auengebiete_Auengebiete,1978,0.0,0.0
276,Flachmoore_flachmoor,1978,0.0,0.0
277,Hochmoore_hochmoor,1978,0.0,0.0
278,Trockenwiesenweiden_trockenwiesenweiden,1978,0.0,0.0
279,WasserZugvoegel_wasserzugvogel,1978,0.0,0.0
280,Jagdbanngebiete_jagdbann,1978,0.0,0.0
281,BLN_landschaftnaturdenkmal,1978,171468.46124099268,4.153287180355885
282,Moorlandschaften_moorlandschaft,1978,0.0,0.0
283,Smaragd_smaragd,1978,0.0,0.0
284,Ramsar_ramsar,1978,0.0,0.0
285,Biosphaerenreservate_biosphaerenreservat,1978,0.0,0.0
286,Unesco_unescoWorldNaturalHeritage,1978,0.0,0.0
287,RegionalePaerke_ParkPerimeter,1978,0.0,0.0
288,Paerke_ParkKernzone,1979,0.0,0.0
289,NationalparkGraubuenden_nationalpark,1979,16689.978617439483,0.4042625316080776
290,IANB_amphibLaichgebietUndWanderobjekteUnion,1979,0.0,0.0
291,Auengebiete_Auengebiete,1979,0.0,0.0
292,Flachmoore_flachmoor,1979,0.0,0.0
293,Hochmoore_hochmoor,1979,0.0,0.0
294,Trockenwiesenweiden_trockenwiesenweiden,1979,0.0,0.0
295,WasserZugvoegel_wasserzugvogel,1979,0.0,0.0
296,Jagdbanngebiete_jagdbann,1979,0.0,0.0
297,BLN_landschaftnaturdenkmal,1979,171468.46124099268,4.153287180355885
298,Moorlandschaften_moorlandschaft,1979,0.0,0.0
299,Smaragd_smaragd,1979,0.0,0.0
300,Ramsar_ramsar,1979,0.0,0.0
301,Biosphaerenreservate_biosphaerenreservat,1979,0.0,0.0
302,Unesco_unescoWorldNaturalHeritage,1979,0.0,0.0
